Task,Question,Token_Step,Token_Rank,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),N_runs
gpt-4o,question_000,2,4,3.547886069840055e-07,3.175038034916787e-07,4.146388882646313e-08,1.502905339769281e-07,30
gpt-4o,question_000,2,5,2.9643697684415067e-07,2.9244804388450753e-07,4.4038475015596374e-08,1.8458223104666582e-07,30
gpt-4o,question_000,2,6,1.7156455998431155e-07,1.735615625046512e-07,2.7292630249114547e-08,1.2361248180164403e-07,30
gpt-4o,question_000,2,7,1.9099213168285217e-08,1.8325140587408477e-08,2.039092260769007e-09,9.754384651681139e-09,30
gpt-4o,question_000,2,8,1.4701189205211323e-08,1.3124394767289216e-08,1.8347083396617288e-09,6.705459805427119e-09,30
gpt-4o,question_000,2,9,1.0223072124045055e-08,9.428524303910351e-09,1.2300478839118312e-09,4.725761682545789e-09,30
gpt-4o,question_000,2,10,7.777303146473746e-09,7.090371923972915e-09,1.181026703447736e-09,5.034942349642209e-09,30
gpt-4o,question_000,3,1,0.99957204485881,0.999596181783175,3.069001326691444e-05,0.00014007975713536958,30
gpt-4o,question_000,3,2,0.0002736794027014024,0.0002536618689445448,2.010266795704159e-05,7.028930240652055e-05,30
gpt-4o,question_000,3,3,0.00011770804435544655,0.0001175230620900726,1.7092427122842664e-05,7.798007565314519e-05,30
gpt-4o,question_000,3,4,2.1436227363503183e-05,1.8992141286931933e-05,1.7304837713283302e-06,7.154851005830815e-06,30
gpt-4o,question_000,3,5,5.7694823254155016e-06,5.2928343609489036e-06,7.914580230494057e-07,3.496955838178125e-06,30
gpt-4o,question_000,3,6,3.3917036887271667e-06,2.9482414253677866e-06,4.399582177854326e-07,1.5937082504168725e-06,30
gpt-4o,question_000,3,7,1.6273572144519949e-06,1.476687656076416e-06,2.8590614026792253e-07,1.1337562107826163e-06,30
gpt-4o,question_000,3,8,1.1011249710936907e-06,1.002445533544104e-06,1.8383497984585407e-07,6.351509744631379e-07,30
gpt-4o,question_000,3,9,6.473179768237012e-07,6.081934145759881e-07,6.037698440483456e-08,2.920082336786109e-07,30
gpt-4o,question_000,3,10,5.712561095342432e-07,5.459437219309572e-07,6.498053245037126e-08,3.046977309717392e-07,30
gpt-4o,question_000,4,1,0.9994460479301669,0.9994644152811569,7.750101166331586e-05,0.00028996857192842285,30
gpt-4o,question_000,4,2,0.00047281607882770053,0.0004578419904156566,6.704510732774097e-05,0.0002552432993264334,30
gpt-4o,question_000,4,3,3.64596610670792e-05,3.597494633456036e-05,5.305560510614528e-06,2.0697975506286194e-05,30
gpt-4o,question_000,4,4,1.6955317020921643e-05,1.6395663454453256e-05,2.576813686611126e-06,8.872166984980697e-06,30
gpt-4o,question_000,4,5,1.1472541368757638e-05,9.919280309950579e-06,1.722547228520216e-06,7.651240138676395e-06,30
gpt-4o,question_000,4,6,5.419244817538728e-06,4.79766076694159e-06,7.344560890498901e-07,2.612136881908208e-06,30
gpt-4o,question_000,4,7,2.992791228519013e-06,3.2519709402335532e-06,4.803343032596585e-07,2.1242456823861126e-06,30
gpt-4o,question_000,4,8,2.3674927249401863e-06,2.265457457175827e-06,4.2278733533058696e-07,1.7447494056301023e-06,30
gpt-4o,question_000,4,9,2.2946526313929907e-06,2.1242218645845095e-06,3.0868114716745043e-07,1.2859202233330904e-06,30
gpt-4o,question_000,4,10,6.372020225605572e-07,5.709813131507058e-07,1.477622637020492e-07,6.002584153529171e-07,30
gpt-4o,question_000,5,1,0.997944284846734,0.9982025314185056,0.0001803380579877305,0.0006957817859128967,30
gpt-4o,question_000,5,2,0.002050732917132132,0.001792954229973992,0.00017985702516587772,0.0006938803357599737,30
gpt-4o,question_000,5,3,2.0699304936972015e-06,1.9781905853982935e-06,2.859059229855922e-07,1.2466148830917633e-06,30
gpt-4o,question_000,5,4,1.7705053756350476e-06,1.657443743857551e-06,1.9660084647481956e-07,8.606677267081525e-07,30
gpt-4o,question_000,5,5,7.555589509872593e-07,5.940863417397598e-07,1.1835417561586163e-07,5.283566714965063e-07,30
gpt-4o,question_000,5,6,1.1056270297652912e-07,1.0453585727004506e-07,1.9452411210724535e-08,7.438870412247203e-08,30
gpt-4o,question_000,5,7,8.025991515983425e-08,7.143297005941814e-08,1.2460207552959101e-08,4.8118168763853606e-08,30
gpt-4o,question_000,5,8,2.0937049810616063e-08,1.7848361361364867e-08,2.81454211510553e-09,1.1160371693129717e-08,30
gpt-4o,question_000,5,9,1.9439392679379033e-08,1.5170796908092388e-08,3.067035635256297e-09,1.0983060386651923e-08,30
gpt-4o,question_000,5,10,1.669247147290443e-08,1.2721957908875282e-08,2.2090414216453923e-09,8.19494204894963e-09,30
gpt-4o,question_000,6,1,0.9995747780263496,0.9996227652289282,4.876271357155507e-05,0.00021785466865786862,30
gpt-4o,question_000,6,2,0.00042388416375660975,0.000376120636521748,4.867361140509809e-05,0.00021750449841561437,30
gpt-4o,question_000,6,3,7.567935524423369e-07,5.945878685958821e-07,1.4809853129544374e-07,6.164018941907408e-07,30
gpt-4o,question_000,6,4,3.6311351475398904e-07,3.268441744241532e-07,4.0409727542744327e-08,1.557031774468917e-07,30
gpt-4o,question_000,6,5,8.359347762449668e-08,6.657971959283895e-08,1.0674821418873736e-08,3.576570913948459e-08,30
gpt-4o,question_000,6,6,1.4079438887578228e-08,1.2132101065465049e-08,1.674285005635302e-09,6.793425550870761e-09,30
gpt-4o,question_000,6,7,3.7894295687473625e-09,3.4194048278873354e-09,5.60093538004823e-10,2.2371062930762737e-09,30
gpt-4o,question_000,6,8,3.587759805809132e-09,3.03814290549784e-09,4.5008251795702014e-10,1.4968359674387887e-09,30
gpt-4o,question_000,6,9,3.504649439422393e-09,3.0474145585438167e-09,6.311060027600808e-10,2.388255142854886e-09,30
gpt-4o,question_000,6,10,3.504649439422393e-09,3.2724316197544248e-09,4.1303950257167226e-10,1.7394709624125807e-09,30
gpt-4o,question_000,7,1,0.999988958915327,0.9999909694639254,1.229476439117908e-06,3.933684867951648e-06,30
gpt-4o,question_000,7,2,8.39804645459326e-06,6.791507245639599e-06,9.343413214310514e-07,2.9758394522733646e-06,30
gpt-4o,question_000,7,3,6.681444501202935e-07,5.723269547171517e-07,9.582111538360693e-08,3.4225092598940474e-07,30
gpt-4o,question_000,7,4,5.989208142832593e-07,4.897405807496788e-07,6.461679635362425e-08,2.4683175207691424e-07,30
gpt-4o,question_000,7,5,5.122841199243424e-07,3.9846143848771126e-07,6.424067936452193e-08,2.3807688256716436e-07,30
gpt-4o,question_000,7,6,4.246984521987001e-07,3.896299571948852e-07,6.147071999288132e-08,2.5467456007994664e-07,30
gpt-4o,question_000,7,7,9.476303365388622e-08,7.497030441756175e-08,1.2101472098995467e-08,4.392201713703741e-08,30
gpt-4o,question_000,7,8,3.828772668930848e-08,3.116867222513213e-08,5.647365002544137e-09,2.0201816228648102e-08,30
gpt-4o,question_000,7,9,3.486137186430224e-08,2.8076963967401694e-08,5.024031170376822e-09,1.6978872141331264e-08,30
gpt-4o,question_000,7,10,3.486137186430224e-08,2.9447868647338287e-08,4.091760889399293e-09,1.3716800328974192e-08,30
gpt-4o,question_000,8,1,0.6000760303596313,0.5821414945550721,0.018779874004597474,0.06138241170479852,30
gpt-4o,question_000,8,2,0.36396451057176543,0.3817847683350925,0.01760126352309469,0.05501065491117524,30
gpt-4o,question_000,8,3,0.03385397707735021,0.03403930456183893,0.0021393671243408368,0.011841444958101424,30
gpt-4o,question_000,8,4,0.0007961692291202801,0.0007542274348677514,5.9820030025470696e-05,0.000267600413315818,30
gpt-4o,question_000,8,5,0.0007961692291202801,0.0007783448097710919,5.3450623893462166e-05,0.0002546556943758048,30
gpt-4o,question_000,8,6,0.00021766045132731423,0.0002241162123847105,2.6995558710668887e-05,0.00010406357913457514,30
gpt-4o,question_000,8,7,0.00015195148401867247,0.0001423354391940224,1.6021646993129676e-05,6.360113739885034e-05,30
gpt-4o,question_000,8,8,8.932766924051243e-05,8.58296362764581e-05,7.52488439655675e-06,2.9092257302858922e-05,30
gpt-4o,question_000,8,9,5.010828109797807e-05,4.587650088983824e-05,5.07664274192683e-06,2.4052889556699785e-05,30
gpt-4o,question_000,8,10,6.161583947352622e-07,5.818071594261275e-07,6.89717550675445e-08,2.9821684079344933e-07,30
gpt-4o,question_000,9,1,0.827331745908822,0.8227135329133275,0.007479169544186252,0.02987025408028765,30
gpt-4o,question_000,9,2,0.17072954797307574,0.1754488712161972,0.0073184844703311795,0.029061284203739268,30
gpt-4o,question_000,9,3,0.0017134661939100394,0.0016024354884205609,0.0002973814466076415,0.001118433540731835,30
gpt-4o,question_000,9,4,0.00020786703320718096,0.0002179609805760706,3.9060378470463643e-05,0.00017795456184362663,30
gpt-4o,question_000,9,5,1.0761351079478595e-05,1.0360527840610583e-05,1.8842248273274863e-06,7.111032484087858e-06,30
gpt-4o,question_000,9,6,3.6900817484492183e-06,3.842161964770841e-06,5.639586000063809e-07,2.4261285452805454e-06,30
gpt-4o,question_000,9,7,2.0861830655458965e-06,1.9818760154355985e-06,2.519716120743008e-07,1.138898149289371e-06,30
gpt-4o,question_000,9,8,4.859278425900298e-07,5.899576662021813e-07,1.334808163446347e-07,5.894226331386638e-07,30
gpt-4o,question_000,9,9,8.041743952401562e-08,7.767912674054877e-08,9.179491162809406e-09,4.207461976742673e-08,30
gpt-4o,question_000,9,10,6.973155471275513e-08,6.288811003878548e-08,1.0950046803594342e-08,4.234681377171022e-08,30
gpt-4o,question_000,10,1,0.9982857162086286,0.9982761523421964,0.0002009204004289676,0.0007183032710483817,30
gpt-4o,question_000,10,2,0.0008823112614323228,0.0009709146855440363,0.00018063893135083367,0.0005583797499864382,30
gpt-4o,question_000,10,3,0.0005027258028308128,0.0004502977865121803,3.666387913361515e-05,0.00013700529735712947,30
gpt-4o,question_000,10,4,0.00017647335430550658,0.00015290218382623893,1.676757460727569e-05,6.265566660328502e-05,30
gpt-4o,question_000,10,5,6.49209189635597e-05,6.477241323958563e-05,6.874209240672843e-06,2.643668156858695e-05,30
gpt-4o,question_000,10,6,3.066647069159547e-05,3.066751596631871e-05,3.017457618807666e-06,1.1588533355025602e-05,30
gpt-4o,question_000,10,7,2.174578396094563e-05,2.0652867608121636e-05,2.174214069683358e-06,9.598520430999763e-06,30
gpt-4o,question_000,10,8,6.230271416296307e-06,5.931699244306376e-06,7.048792053568778e-07,2.7533208846245347e-06,30
gpt-4o,question_000,10,9,4.928550348559869e-06,5.112509753145991e-06,1.1077318203977262e-06,4.6108299637731195e-06,30
gpt-4o,question_000,10,10,3.662587620961609e-06,3.4999749911818342e-06,2.8770120792348037e-07,1.4271537758268289e-06,30
gpt-4o,question_000,11,1,0.6386685552620937,0.6413268494588923,0.016260664391944034,0.06988518443076996,30
gpt-4o,question_000,11,2,0.34185465342781035,0.33852343062956597,0.01493575233108568,0.06409950884299331,30
gpt-4o,question_000,11,3,0.016756073272072278,0.017402449970721958,0.0018063373455431066,0.006994033336689175,30
gpt-4o,question_000,11,4,0.0021302956565078003,0.002200023775930745,0.0002461095836995602,0.0010339471908567329,30
gpt-4o,question_000,11,5,0.0002974557808398584,0.0002911277852714698,3.8003089540834574e-05,0.0001469824018104885,30
gpt-4o,question_000,11,6,0.0001804160509881358,0.00015711648493595855,1.5453240553170627e-05,5.255498514067692e-05,30
gpt-4o,question_000,11,7,8.93124216207946e-05,7.69273139059966e-05,7.397378548961954e-06,3.176424856119247e-05,30
gpt-4o,question_000,11,8,8.982386265206345e-06,8.93156666617643e-06,1.42305522107023e-06,6.772728713722066e-06,30
gpt-4o,question_000,11,9,6.173497778035603e-06,5.826597995691858e-06,6.619678232795444e-07,3.695060717930979e-06,30
gpt-4o,question_000,11,10,2.8044377636181406e-06,2.2684707867323177e-06,2.755404031798418e-07,1.1228780006799609e-06,30
gpt-4o,question_000,12,1,0.5804580171630471,0.6065237424684142,0.014118094023889966,0.048365605826441116,30
gpt-4o,question_000,12,2,0.41808822576105376,0.39195312325649,0.014167506225253281,0.04847017809330306,30
gpt-4o,question_000,12,3,0.0010692340979668485,0.0011268992034080476,8.931583011523857e-05,0.0003807198664930254,30
gpt-4o,question_000,12,4,0.0003210422950911059,0.0003379791763843407,2.648505461832472e-05,0.00011646850509706313,30
gpt-4o,question_000,12,5,2.8052363112603626e-05,2.8299724394245656e-05,3.1871580582693343e-06,1.4019320218169136e-05,30
gpt-4o,question_000,12,6,2.761745153394022e-05,2.2323078103320557e-05,2.898727690999591e-06,1.0000426341625394e-05,30
gpt-4o,question_000,12,7,3.003258526958007e-06,3.0727758138694135e-06,3.515280190923821e-07,1.4882743676657574e-06,30
gpt-4o,question_000,12,8,1.1946137063727836e-06,1.081033151033409e-06,7.268198603603257e-08,2.9791555865563065e-07,30
gpt-4o,question_000,12,9,2.543479353406109e-07,2.766090915207613e-07,4.373030662880758e-08,1.7208247430622024e-07,30
gpt-4o,question_000,12,10,2.543479353406109e-07,2.5395808713129426e-07,2.1252071215264225e-08,9.802436501878513e-08,30
gpt-4o,question_000,13,1,0.9999974223173038,0.999997895157519,2.709238374405153e-07,9.53627406707902e-07,30
gpt-4o,question_000,13,2,2.156815216720845e-06,1.7070323161127503e-06,2.27067280073013e-07,8.280386415326662e-07,30
gpt-4o,question_000,13,3,3.3075832605086236e-07,2.9778343568533534e-07,5.065447459049251e-08,2.1438151531909257e-07,30
gpt-4o,question_000,13,4,1.4877149267977922e-08,1.1709454159323182e-08,2.2506279890249448e-09,7.904369741276729e-09,30
gpt-4o,question_000,13,5,8.088565758236833e-09,8.862169795296219e-09,1.9404639483575007e-09,7.906667585558481e-09,30
gpt-4o,question_000,13,6,6.348788006680007e-09,4.107464653930983e-09,1.3529427769797647e-09,4.928970392457006e-09,30
gpt-4o,question_000,13,7,5.7806372622874396e-09,5.798066092560988e-09,1.2401629866535119e-09,5.025783698467825e-09,30
gpt-4o,question_000,13,8,5.43040615557915e-09,4.60912013204404e-09,8.356019513817841e-10,3.5468845600979387e-09,30
gpt-4o,question_000,13,9,4.2623746288807404e-09,3.5106116071416646e-09,5.078017553837289e-10,1.984492510774986e-09,30
gpt-4o,question_000,13,10,4.229204566360819e-09,3.5361284922950395e-09,7.81022050125952e-10,3.2372810086649573e-09,30
gpt-4o,question_000,14,1,1.0,1.0,0.0,0.0,30
gpt-4o,question_000,14,2,1.6467534506261262e-08,1.2415496236343633e-08,3.775343228810149e-09,1.2570115315711076e-08,30
gpt-4o,question_000,14,3,5.871680252669901e-09,4.72485480351924e-09,1.1065487920540502e-09,3.6852239651848153e-09,30
gpt-4o,question_000,14,4,5.515933130022035e-09,4.3956552311402426e-09,8.135362694084268e-10,3.829428945021275e-09,30
gpt-4o,question_000,14,5,2.906692500344293e-09,2.1380374815514555e-09,5.527275967812493e-10,1.7091238465966789e-09,30
gpt-4o,question_000,14,6,1.036413128411301e-09,8.570738266044993e-10,2.3236724799157779e-10,8.919780733584245e-10,30
gpt-4o,question_000,14,7,8.592166619174109e-10,6.45772691636279e-10,1.6379333650372936e-10,5.639772511308989e-10,30
gpt-4o,question_000,14,8,7.465003724657477e-10,6.039257175235678e-10,1.0553139317098987e-10,4.0008124976287256e-10,30
gpt-4o,question_000,14,9,6.092758470188601e-10,4.89103925149829e-10,1.050800313904785e-10,3.764693289475817e-10,30
gpt-4o,question_000,14,10,3.3647407934131505e-10,2.792632893382028e-10,5.087054439344779e-11,2.1392193265296916e-10,30
gpt-4o,question_000,15,1,0.9999998063873693,0.9999998709249128,9.126986939686836e-08,1.9361263070560852e-07,30
gpt-4o,question_000,15,2,5.747734309068885e-08,5.186564782844938e-08,1.5318247245489813e-08,6.866643819187855e-08,30
gpt-4o,question_000,15,3,5.6910276431061254e-09,5.331589097789551e-09,2.593713674386274e-09,9.199420258586776e-09,30
gpt-4o,question_000,15,4,3.1923771805723365e-09,2.502847244524688e-09,8.269862694915273e-10,4.354212403212528e-09,30
gpt-4o,question_000,15,5,1.3730243162657943e-09,1.1147380062761367e-09,3.396562450833331e-10,1.6077285307006866e-09,30
gpt-4o,question_000,15,6,1.3307807990689665e-09,1.3551232746399791e-09,4.3819646955192525e-10,1.7364384653426103e-09,30
gpt-4o,question_000,15,7,9.889523158280438e-10,7.459589235597282e-10,2.616882365394543e-10,1.1366585877546249e-09,30
gpt-4o,question_000,15,8,7.349269569157389e-10,9.309638850086189e-10,2.9329856810770984e-10,1.2307901519106084e-09,30
gpt-4o,question_000,15,9,5.211412487888539e-10,3.7249601482489903e-10,1.395784188380547e-10,6.595882333804063e-10,30
gpt-4o,question_000,15,10,4.5277536338737654e-10,3.847127892819019e-10,1.1408134850067005e-10,5.22461534725209e-10,30
gpt-4o,question_000,16,1,0.9969666471099264,0.9972607123313459,0.0003174808035965605,0.0011237107100792176,30
gpt-4o,question_000,16,2,0.0030278183674522555,0.0027340352975000672,0.00031717054860840206,0.0011219300808266034,30
gpt-4o,question_000,16,3,1.3456096094424846e-06,1.111555346485472e-06,1.7383357282270296e-07,6.779404631796975e-07,30
gpt-4o,question_000,16,4,1.2251914917699232e-06,1.5196068583266707e-06,2.4690909754152287e-07,1.1381055339969008e-06,30
gpt-4o,question_000,16,5,7.548185812006495e-07,6.844534570925243e-07,1.0066057388238967e-07,4.0965516603835986e-07,30
gpt-4o,question_000,16,6,5.97110644609355e-07,5.09139475631927e-07,6.955456505208335e-08,2.3033031888592294e-07,30
gpt-4o,question_000,16,7,4.723533982677911e-07,4.093059560165963e-07,3.76360853663836e-08,1.4227382336996373e-07,30
gpt-4o,question_000,16,8,3.0977692156252174e-07,3.20741280356563e-07,4.217616971147878e-08,2.0028859275843007e-07,30
gpt-4o,question_000,16,9,1.7650556940434323e-07,1.6177740405499808e-07,1.4505046113860792e-08,5.004890265353893e-08,30
gpt-4o,question_000,16,10,1.658116375577706e-07,1.5436899749687724e-07,1.3148230186148234e-08,4.866378000507583e-08,30
gpt-4o,question_000,17,1,0.9990976420559157,0.9987744026196343,0.00022241994955390774,0.0009187828486431071,30
gpt-4o,question_000,17,2,0.0008295288634467969,0.0011531858133134658,0.0002175416602655709,0.0008965425159475666,30
gpt-4o,question_000,17,3,4.3281808875558914e-05,4.8509580427459824e-05,5.766023924368441e-06,2.5507956164793763e-05,30
gpt-4o,question_000,17,4,8.1324109416531e-06,7.153861809960101e-06,1.3069715889924344e-06,4.265623813119472e-06,30
gpt-4o,question_000,17,5,5.25067914078439e-06,3.901363840910095e-06,8.116009455419574e-07,3.1301636790483717e-06,30
gpt-4o,question_000,17,6,3.963420552801672e-06,3.516494798851111e-06,4.226648545492483e-07,1.5696942855696198e-06,30
gpt-4o,question_000,17,7,3.2348495774005772e-06,2.178574350255159e-06,3.3109725649830386e-07,1.5701109037242151e-06,30
gpt-4o,question_000,17,8,2.9917467925918655e-06,2.131564742733173e-06,5.641927739428415e-07,2.058096470692655e-06,30
gpt-4o,question_000,17,9,1.800464934307326e-06,1.281652118914405e-06,2.2846238745473975e-07,9.568164354083045e-07,30
gpt-4o,question_000,17,10,1.1092342677405611e-06,9.506687633961631e-07,1.462854153651445e-07,5.402751402019416e-07,30
gpt-4o,question_000,18,1,0.7153047599748641,0.7084304973227219,0.015583833108388291,0.08817350147505665,30
gpt-4o,question_000,18,2,0.1925216758510257,0.1905056750404799,0.013257613113598458,0.05457224825012569,30
gpt-4o,question_000,18,3,0.04867710270582576,0.057826491778292397,0.0059140959835616725,0.030095667152076726,30
gpt-4o,question_000,18,4,0.024096913197747143,0.023521775699810777,0.0025280774105402607,0.010206492206061006,30
gpt-4o,question_000,18,5,0.015558132788237911,0.015259134376219697,0.0010883650644363278,0.004715411131472658,30
gpt-4o,question_000,18,6,0.003695380443458173,0.004320207169965183,0.00043444334961645093,0.0017150535456871494,30
gpt-4o,question_000,18,7,3.3244897270494973e-05,3.128979153774107e-05,4.824599217758589e-06,2.07944147299191e-05,30
gpt-4o,question_000,18,8,2.9568623723329464e-05,2.230284138565792e-05,3.546137397980668e-06,1.3556414984275716e-05,30
gpt-4o,question_000,18,9,2.7995010273465356e-05,2.5900448041459828e-05,3.1784290666106647e-06,1.6469689765062458e-05,30
gpt-4o,question_000,18,10,1.954366689139187e-05,2.0970597716475094e-05,2.9508108201699966e-06,1.2203369051532586e-05,30
gpt-4o,question_000,19,1,0.614309901812948,0.6059316866970541,0.025954555186659185,0.09787100150413852,30
gpt-4o,question_000,19,2,0.23683755099878623,0.23236841699909094,0.020946308974361984,0.07926961209304328,30
gpt-4o,question_000,19,3,0.14820915228895226,0.16122707428667604,0.0067666699756781645,0.025698891647159078,30
gpt-4o,question_000,19,4,0.00027730819578713535,0.00018182282902603382,3.248268070142985e-05,0.00013254995594583365,30
gpt-4o,question_000,19,5,0.00013514922088032937,8.501433741453308e-05,1.3761820071801517e-05,6.459968924810427e-05,30
gpt-4o,question_000,19,6,0.00012696094352404518,0.0001151012948686457,1.0500460208800495e-05,3.938744389043768e-05,30
gpt-4o,question_000,19,7,3.933066552471333e-05,3.556208766619088e-05,4.2693496265606885e-06,1.423943515917203e-05,30
gpt-4o,question_000,19,8,2.788961808295167e-05,2.346830831428769e-05,2.458029682475109e-06,9.855659924938436e-06,30
gpt-4o,question_000,19,9,1.0921731367150873e-05,9.103291056766325e-06,1.008163562745532e-06,4.259327446649407e-06,30
gpt-4o,question_000,19,10,8.639800634632361e-06,8.381420824483215e-06,7.596319369558747e-07,3.2186083349091238e-06,30
gpt-4o,question_000,20,1,0.8671955805051013,0.8668598581752243,0.012570858700510503,0.055376374146142604,30
gpt-4o,question_000,20,2,0.1309269344333307,0.13113154232472155,0.012438136744198523,0.05488262543663407,30
gpt-4o,question_000,20,3,0.001622575035198263,0.0017819358261072639,0.00015141225145894337,0.000599123810500077,30
gpt-4o,question_000,20,4,0.00018491479862145372,0.00016789361870230655,3.4584005893087206e-05,0.0001266954463571655,30
gpt-4o,question_000,20,5,3.213337375879494e-05,3.003179949059581e-05,4.7091927784552315e-06,1.610076538372209e-05,30
gpt-4o,question_000,20,6,2.79179589301624e-05,1.9836829656584303e-05,3.960727456971328e-06,1.5311394779763143e-05,30
gpt-4o,question_000,20,7,3.440167530758612e-06,3.1208309643726847e-06,3.503068345835434e-07,1.3636440870516393e-06,30
gpt-4o,question_000,20,8,1.5265650880024046e-06,1.313628342503691e-06,2.6186317675408296e-07,1.0277193117432432e-06,30
gpt-4o,question_000,20,9,1.3263027328217012e-06,1.2979127763673403e-06,2.0612405483376241e-07,8.68117049325064e-07,30
gpt-4o,question_000,20,10,5.794187523806634e-07,5.629703836457863e-07,8.037335719942807e-08,2.9283748564908326e-07,30
gpt-4o,question_000,21,1,0.9595447787152027,0.9595312751859094,0.0041133519451381955,0.01961360871354423,30
gpt-4o,question_000,21,2,0.026798181622670142,0.027516260370125493,0.0024643864982262726,0.009816853516401977,30
gpt-4o,question_000,21,3,0.0075587724063653095,0.006975026974798066,0.0012080820015662062,0.006360909199369378,30
gpt-4o,question_000,21,4,0.006073644257892509,0.0059559113517921505,0.0013335871406359775,0.0068296042225344826,30
gpt-4o,question_000,21,5,7.223499658530367e-06,6.668120124030949e-06,8.62118563202565e-07,3.2520589953114906e-06,30
gpt-4o,question_000,21,6,4.591535743331182e-06,3.5343255864008398e-06,1.0687270505763758e-06,5.690220578456555e-06,30
gpt-4o,question_000,21,7,3.92734864322334e-06,3.5647472751310474e-06,5.151866086787351e-07,2.090752280441517e-06,30
gpt-4o,question_000,21,8,3.058622198736756e-06,2.7501791527255126e-06,5.883787377158115e-07,3.15671656805339e-06,30
gpt-4o,question_000,21,9,2.496374683231028e-06,1.9870719039788497e-06,5.496661143398698e-07,2.6612672629380503e-06,30
gpt-4o,question_000,21,10,6.614734400794012e-07,6.333685724532854e-07,1.1587802560068816e-07,5.328282971980611e-07,30
gpt-4o,question_000,22,1,0.9615334503911139,0.9619647317057524,0.00389155395103728,0.015325129379952673,30
gpt-4o,question_000,22,2,0.03846618186853486,0.03803500193612028,0.0038915675061226636,0.015325160112726,30
gpt-4o,question_000,22,3,2.021561176673586e-07,1.7494450444555324e-07,2.752361167685834e-08,8.847359558788233e-08,30
gpt-4o,question_000,22,4,1.3973522723857317e-08,1.1686819649465165e-08,1.7443959146380276e-09,5.915473508525998e-09,30
gpt-4o,question_000,22,5,1.2331590521999541e-08,1.10529333908069e-08,1.942097647519647e-09,6.48085496688404e-09,30
gpt-4o,question_000,22,6,5.825030904690693e-09,4.7978774131585336e-09,7.402860758498353e-10,2.5493205403483737e-09,30
gpt-4o,question_000,22,7,2.6255471304275065e-09,2.344448808593401e-09,4.428654026497699e-10,1.5314361975421969e-09,30
gpt-4o,question_000,22,8,2.3905878665458604e-09,2.3793839146321986e-09,3.0085207425311447e-10,1.1684375255766718e-09,30
gpt-4o,question_000,22,9,1.3409982575921566e-09,1.2036251773349047e-09,2.1766183563656587e-10,7.94977863250621e-10,30
gpt-4o,question_000,22,10,1.1117266029730788e-09,9.052497751466779e-10,2.35169380724758e-10,7.742830144142329e-10,30
